Tussenstand_prediction,id,text
N,303139519534866433,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds...
N,304172078146392064,Svet Poznatih | Bata: Srean sam to sam ponovo u svom domu http://t.co/bSIQc5vF
N,304172204860510208,"RT @ShitHappensDre: Ke bata bata, ang harot harot na!"
N,304241347647397889,"RT @nieuws_enschede: Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafettel... http://t. ..."
N,306044743291400192,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
N,306090820342251520,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
N,306111247093493760,RT @hanze: Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
N,309348063963656192,RT @MarieJoseJacobs: Team Buitengewoon NOP gaat de Batavierenrace lopen 26/27/28 april voor Leergeld NOP. Sponsoren jullie hen ook? #all ...
N,314755230522822657,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
N,315091047728431105,RT @UniTeamAdam: Gisteravond de 3e en laatste gezamenlijke Batatraining gehad. Een goede en enthousiaste groep! Op naar de #Roetersrun e ...
N,315093702181810176,RT @alumniUT: Loop jij mee in de Batavierenrace? Heb je je al aangemeld voor bata4life? Nu doen!  http://t.co/H8jXXciKdZ
N,316935563326410754,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
N,316935909054484480,RT @UTwente: De Batavierenrace 2013 zal proberen zoveel mogelijk geld in te zamelen voor KWF Kankerbestrijding (@kwf_nl). http://t.co/Zg ...
N,318004491481907201,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,318012123567493121,RT @MauriceEssers: Stop kanker. Steun het kankeronderzoek bij o.a. MESA+ en MIRA #UTwente. Steun #bata4life! #Batavierenrace http://t.co ...
N,318018404839723008,RT @Batavierenrace: Sta op tegen kanker! Contracten tussen #KWF en #Batavierenrace zijn getekend. Doneer op http://t.co/GXu7Pbrds7!
